	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
camrynxmarj					http://pbs.twimg.com/profile_images/526917988554137600/z6NKQ73__normal.jpeg					"camrynxmarj

RT @ema_nicki: BUY ONLY ON ITUNES
ONLY ON ITUNES NOW!!!!!! http://t.co/f16zmqbeJh
#ONLYoniTunes #EMABiggestFansNickiMinaj
:)"																			286	70	506	297	-10800				Atlantic Time (Canada)	41288.89338	Open Twitter Page for This Person	https://twitter.com/camrynxmarj	Yes					
mychoicejustin					http://pbs.twimg.com/profile_images/507009257624305664/JRT_GaJU_normal.jpeg					"mychoicejustin

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			421	308	4814	200	-7200	because you make me believe makes me never say never and because I love you since: 25/11/2012 creative @chooselogan	Canadá 	http://t.co/Ch8nDbkpQ8	Mid-Atlantic	41236.56851	Open Twitter Page for This Person	https://twitter.com/mychoicejustin	Yes					
grossefrite28					http://pbs.twimg.com/profile_images/524878043597512704/bGp-Icu__normal.jpeg					"grossefrite28

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			167	66	423	911		"Louis,Zayn,Liam,Niall,Harry, thank you so much for all and I love you -XXIVIMMXIV-
Alix,Justine,Emmy Directioner"				41572.91712	Open Twitter Page for This Person	https://twitter.com/grossefrite28	Yes					
midori_1d					http://pbs.twimg.com/profile_images/501779188366712832/iwgExpEe_normal.jpeg					"midori_1d

RT @Louis_Tomlinson: Thanks so
much if you've pre ordered Best
Song Ever, if you haven't here
it is :) http://t.co/w3fW7ZKtp4"																			22	62	4100	2668	-14400				Eastern Time (US & Canada)	41652.93939	Open Twitter Page for This Person	https://twitter.com/midori_1d	Yes					
zhariithojame					http://pbs.twimg.com/profile_images/525386903613624320/eISdoIK-_normal.jpeg					"zhariithojame

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			627	548	16339	419	-18000	? DIRECTIONER ? 5SOSFAM ? HARMONIZER ?	Ecuador 		Quito	40624.98786	Open Twitter Page for This Person	https://twitter.com/zhariithojame	Yes					
denisse_rt_2703					http://pbs.twimg.com/profile_images/522437951767449600/SZYSMYJ3_normal.jpeg					"denisse_rt_2703

RT @zaynmalik: Our new album is
called FOUR :) http://t.co/SsP5SAatsW"																			560	519	8525	7356						41663.88573	Open Twitter Page for This Person	https://twitter.com/denisse_rt_2703	Yes					
zouisohot					http://pbs.twimg.com/profile_images/526420369570136065/e91crJfS_normal.png					"zouisohot

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			3240	2976	19985	14177	-7200	let's go crazy together?                                                        0/6 :'(  WWAT 10/5 :) THG | HP | TVD	Brazil	http://t.co/sJcukXhSyL	Mid-Atlantic	41240.75706	Open Twitter Page for This Person	https://twitter.com/zouisohot	Yes					
niallcrocante					http://pbs.twimg.com/profile_images/521492442214715392/kU1dmk52_normal.png					"niallcrocante

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			532	362	1644	7	-10800				Santiago	41924.78075	Open Twitter Page for This Person	https://twitter.com/niallcrocante	Yes					
camii__benitez					http://pbs.twimg.com/profile_images/499678345513431040/i41uxes2_normal.jpeg					"camii__benitez

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			766	667	11174	414	-7200	"Bostera, Te Amo C.A.B.J?/ Amo a One Direction #Directioner ? ONE DIRECTION PASIÓN?? :3"	Posadas-Misiones		Brasilia	41640.87354	Open Twitter Page for This Person	https://twitter.com/camii__benitez	Yes					
kissmeimirish92					http://pbs.twimg.com/profile_images/526905793120313345/-gjROz3t_normal.jpeg					"kissmeimirish92

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1601	1235	21744	21441	-14400	"http://t.co/qcNRjjgneR wish that I could wake up with follows from 5/4, and forget about the stupid little things...'"	"Portland, Maine"	http://t.co/oQWyRUT0CV	Eastern Time (US & Canada)	41706.89091	Open Twitter Page for This Person	https://twitter.com/kissmeimirish92	Yes					
lovey_bear89					http://pbs.twimg.com/profile_images/378800000811270891/2c286c711ac1b8847be36c5ef4ead0b4_normal.jpeg					"lovey_bear89

@Apple_vixxen : Hello ^_^ Nice
to meet you :) Let's keep helping
Vixx while enjoying the nice weather
:D"																			72	42	6166	92	28800	"FT Island, Mblaq, Beast, U-Kiss, B1A4, B.A.P, Vixx, BtoB, Infinite (?????)"	~Secret Place~		Beijing	41131.3399	Open Twitter Page for This Person	https://twitter.com/lovey_bear89	Yes					
leo_latte_latte					http://pbs.twimg.com/profile_images/523130204374302720/e7qJV-bW_normal.jpeg					"leo_latte_latte

"																			144	132	8316	97		"la~tte, la~tte. rt accout"				41929.63291	Open Twitter Page for This Person	https://twitter.com/leo_latte_latte	No					
_					http://pbs.twimg.com/profile_images/477455179197845504/0SvHQJT__normal.jpeg					"_

"																			736	28031	10568	4633	-18000	"Content, Community & Design for http://t.co/09brkGHoD9, http://t.co/xJi0vzGwEi (CCO & Co-Founder)
Husband of @__, dad of @___.
Feel free to DM me."	St. Louis		Central Time (US & Canada)	39157.93534	Open Twitter Page for This Person	https://twitter.com/_	No					
singmajesty					http://pbs.twimg.com/profile_images/504700308925059072/4V8s_EmK_normal.jpeg					"singmajesty

@deepnightfr they're all developed
by Apple, it sounds like :)"																			188	1745	7704	15	-25200	"Founder of @Open_FL, cross-platform advocate/developer, writer, speaker. Married to my very best friend, father of five awesome kids."	"Grizzly Flats, CA"	http://t.co/lxL4xAO6CX	Pacific Time (US & Canada)	39993.75824	Open Twitter Page for This Person	https://twitter.com/singmajesty	Yes					
deepnightfr					http://pbs.twimg.com/profile_images/2994325735/3ebe66b55b180e3dc9688a7e8cf511d2_normal.png					"deepnightfr

"																			69	2046	1547	223		"I prefer making games to playing them. I work @motiontwin, an indie studio we created with friends 13 years ago. And I love @LudumDare. Ask me anything!"	"Bordeaux, France"	http://t.co/euoppDoR08		41024.69216	Open Twitter Page for This Person	https://twitter.com/deepnightfr	No					
danielsonlute					http://pbs.twimg.com/profile_images/493123905809154048/fQIKPj3Y_normal.jpeg					"danielsonlute

Me and Christy at Eckerts apple
orchard :D http://t.co/HTKe6MWUrt"																			273	32	73	110	-18000		St. Peters Missouri 		Central Time (US & Canada)	40706.24686	Open Twitter Page for This Person	https://twitter.com/danielsonlute	Yes					
mseoranes					http://pbs.twimg.com/profile_images/523308692892954624/3dwZxca6_normal.jpeg					"mseoranes

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1088	1086	30244	4680	-7200	"6/05/2014 El Mejor Día de mi Vida:) WWAT Uruguay

@Louis_Tomlinson @Real_Liam_Payne @zaynmalik 
@NiallOfficial @Harry_Styles"	"Uruguay,Artigas,B.U"		Brasilia	41375.12297	Open Twitter Page for This Person	https://twitter.com/mseoranes	Yes					
dellaarliani354					http://pbs.twimg.com/profile_images/525689532058845186/sTdqcj_y_normal.jpeg					"dellaarliani354

RT @zaynmalik: Not long till you
get to see Story Of My Life video
:D http://t.co/TcW2rImBFS http://t.co/jtz20BCWHV"																			317	238	2244	311	25200	Always hungry like niall :D :D | ig:dellaarliani |one direction & 5sos:*	INDONESIA		Jakarta	41317.30435	Open Twitter Page for This Person	https://twitter.com/dellaarliani354	Yes					
slothmuffin17					http://pbs.twimg.com/profile_images/504144943162851328/XJEU8fDv_normal.jpeg					"slothmuffin17

Ohhhh. And a Caramel Apple Cheesecake
Bar :) #yum #someonecomevisitandhavesome
http://t.co/4IKyDz9Vh8"																			115	67	2285	3634	-10800	"Mary Poppins is my homegirl. Plok owns my heart. Hartosexual, Disneyophile, Amateur Juggler"	"Greensburg, PA"	http://t.co/HDfOlUSxzQ	Atlantic Time (Canada)	41165.14763	Open Twitter Page for This Person	https://twitter.com/slothmuffin17	Yes					
benny1d4					http://pbs.twimg.com/profile_images/473921057468866560/oZZj5SWB_normal.jpeg					"benny1d4

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			124	170	2082	41	-14400	"Just close your eyes and enjoy the roller coaster that is life!!   @NiallHoran,@ZaynMalik,@LiamPayne,@HarryStyles,@LouisTomlinson @JustinBieber  DIRECTIONERS"	PANAMA	http://t.co/7AjKd2VcK5	Eastern Time (US & Canada)	41287.17166	Open Twitter Page for This Person	https://twitter.com/benny1d4	Yes					
stewarhoran					http://pbs.twimg.com/profile_images/526869621668720640/hBrs6cVJ_normal.png					"stewarhoran

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			378	114	51	66	-18000	"Don't let the world change your smile, better change your smile by the world"		https://t.co/6AtZQedlls	Central Time (US & Canada)	41475.04876	Open Twitter Page for This Person	https://twitter.com/stewarhoran	Yes					
owsla_16					http://pbs.twimg.com/profile_images/523989846592069632/u8dlS9Mz_normal.jpeg					"owsla_16

RT @wolfgang: It's our great pleasure
to announce our latest album 'Alveron'
is up on iTunes now! We do hope
you enjoy it :) WG x http://t.…"																			1688	1148	34043	37577		• worlds miami • | porter is my life | giraffage is my life | lemaitre is my life | worlds is my life | giraffage misses me | i want to be @Nadus	0427 // 101814 // 102614	http://t.co/VVk0taYLbj		41177.11087	Open Twitter Page for This Person	https://twitter.com/owsla_16	Yes					
wolfgang					http://pbs.twimg.com/profile_images/520450181246902272/AP4VxLer_normal.jpeg					"wolfgang

"																			4492	21741	9383	7183	0	@wolfgang (max) @lassespetersen (drums) @gavlord (guitar) @jameswoodmusic (bass)	London	http://t.co/jm9Mgjn93F	London	39954.64074	Open Twitter Page for This Person	https://twitter.com/wolfgang	No					
chicheng					http://pbs.twimg.com/profile_images/461897771411202048/UL_ePFpV_normal.jpeg					"chicheng

@visa #Visa #sweeps Apple Pay is
the best thing since the iPhone
6!! : )"																			438	33	5713	210	-18000				Quito	39944.22608	Open Twitter Page for This Person	https://twitter.com/chicheng	Yes					
visa					http://pbs.twimg.com/profile_images/431926282322866176/2a-H3Slp_normal.jpeg					"visa

"																			1188	229205	12063	368	-25200	#everywhere isn’t just a place. It can be the journey. It could be the destination. But it’s always a new state of mind.	USA	https://t.co/VWpEVdNbzo	Pacific Time (US & Canada)	41010.84867	Open Twitter Page for This Person	https://twitter.com/visa	No					
jetredgirl4ever					http://pbs.twimg.com/profile_images/378800000139425033/c9c461499a7b0c0b2a3a818258ed60e2_normal.jpeg					"jetredgirl4ever

Mmmm..homemade apple crisp! Wish
I had some vanilla ice cream though
:)"																			1697	579	15543	1968	-25200	"A Pagan CA girl. I love David Bowie, music, books, writing, TV, reading & researching history, the paranormal & figure skating. Proud member of #TeamWildman"	"Stockton, CA"	http://t.co/2OKcMsp3rO	Pacific Time (US & Canada)	40219.77258	Open Twitter Page for This Person	https://twitter.com/jetredgirl4ever	Yes					
sofiarcodaci					http://pbs.twimg.com/profile_images/501592595223822336/a1A_6jZh_normal.jpeg					"sofiarcodaci

@MarGuangiroli pasala bomba tirando
besitos por la big apple :)"																			128	106	1393	562	-10800	"Estudiante de Relaciones internacionales.                                                       Viviendo intensamente, soltar y dejar fluir."	Argentina		Buenos Aires	40470.99294	Open Twitter Page for This Person	https://twitter.com/sofiarcodaci	Yes					
marguangiroli					http://pbs.twimg.com/profile_images/526556161378885633/USCzO_Mb_normal.jpeg					"marguangiroli

"																			79	70	4096	359	-10800	Fea tu cara	Balcarce		Greenland	40172.66219	Open Twitter Page for This Person	https://twitter.com/marguangiroli	No					
1dgaby111					http://pbs.twimg.com/profile_images/527202801135652865/miad7WnK_normal.jpeg					"1dgaby111

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			556	562	5178	11937		"N,H,Z,Lx2 Directioner"	chihuahua Mexico	http://t.co/okpzCbvmDL		41634.76328	Open Twitter Page for This Person	https://twitter.com/1dgaby111	Yes					
harrys_cookie_					http://pbs.twimg.com/profile_images/523482054013751299/vn7FCH84_normal.jpeg					"harrys_cookie_

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			113	114	1421	1269		f??g?????g ???? @?????_??????  @?????_????????? @z????????1? @????_????_????? @???????¢????		http://t.co/oSRIBVdGni		41918.03186	Open Twitter Page for This Person	https://twitter.com/harrys_cookie_	Yes					
apple_vixxen					http://pbs.twimg.com/profile_images/524563149496659969/vD-uoStP_normal.png					"apple_vixxen

@lovey_bear89 Yup Yup :D Thankfully
its good weather today~"																			140	38	1499	25	28800	A hottie for Vixx..sometimes LEDApple. Will follow anyone who likes VIXX :) #VIXX6THWIN #ERROR3RDWIN ????~  Byulbit power~	Singapore	http://t.co/OmwcrCb1Hf	Singapore	41802.17244	Open Twitter Page for This Person	https://twitter.com/apple_vixxen	Yes					
derpievixx					http://pbs.twimg.com/profile_images/485080305745678336/rqzCKzhR_normal.png					"derpievixx

"																			102	117	6082	18	-25200	beware of my rants.			Arizona	41072.42612	Open Twitter Page for This Person	https://twitter.com/derpievixx	No					
veixxox					http://pbs.twimg.com/profile_images/432573252297175040/OhJDWdtU_normal.jpeg					"veixxox

"																			1448	190	6524	288	3600	everything's vixx and everything hurts....my twitter is dedicated to vote for #VIXX aslong as they promote error....I might be back with meaningful tweets 1day	The land before time		Stockholm	40378.75213	Open Twitter Page for This Person	https://twitter.com/veixxox	No					
byulbuiwis					http://pbs.twimg.com/profile_images/505580270301347840/WXn2hhVJ_normal.jpeg					"byulbuiwis

"																			319	275	19078	17497	28800	"???.
ELF since 29/08/2011 :D
STARLIGHT BANA in an ARMY ???
http://t.co/EpYEcQtzDp"	SINGAPORE	http://t.co/kZn68udW88	Singapore	40792.36897	Open Twitter Page for This Person	https://twitter.com/byulbuiwis	No					
xxxmyrada					http://pbs.twimg.com/profile_images/523754905148731392/51oWMtMj_normal.jpeg					"xxxmyrada

RT @LYEHOHO: @apple_the4th ???RT
???????? ""???????"" 250 - ???????????????
:) https://t.co/7RLaER3V6S … …
… … … http://t.co/drc4y1387K"																			329	361	44953	786		"?????????????????????????????????????????????????? LuMin TaoHun ChanBaek shipper Roi-Et,Thailand       ?G-DRAGON CL SEUNGYOON B.I TWINS YG DANCER?   #YGSTAN"				41194.18125	Open Twitter Page for This Person	https://twitter.com/xxxmyrada	Yes					
apple_the4th					http://pbs.twimg.com/profile_images/519756814041096192/99wPfYjr_normal.jpeg					"apple_the4th

"																			130	1277	20312	950		"???????????????? ??? ?????? ?????????  //LUMIN 90%//ALLMIN 10%// ??????? a cool,dry place  http://t.co/a2dgaurCkD"		http://t.co/a2dgauJLyL		41585.47554	Open Twitter Page for This Person	https://twitter.com/apple_the4th	No					
lyehoho					http://pbs.twimg.com/profile_images/524609315034775552/0ZulSSXI_normal.jpeg					"lyehoho

"																			82	29	2373	50	25200	LUMIN		https://t.co/Uxm6Xv66Dl	Jakarta	41768.52583	Open Twitter Page for This Person	https://twitter.com/lyehoho	No					
hectwilight					http://pbs.twimg.com/profile_images/444318735923286016/VSQGJBb6_normal.png					"hectwilight

I'm now an E-List celebrity in
Kim Kardashian: Hollywood. You
can be famous too by playing on
iPhone! :) http://t.co/5oOrAzgMAy"																			111	54	342	1	-21600				Mountain Time (US & Canada)	40742.0665	Open Twitter Page for This Person	https://twitter.com/hectwilight	Yes					
jailbreakstyles					http://pbs.twimg.com/profile_images/518097503187521536/STjYkKXW_normal.png					"jailbreakstyles

@NickPomes @PrsnSingh l’Apple Store
Caroussel du Louvre :)"																			1866	1098	8265	1369	3600	"I'm Jailbreakstyle. Youtuber.. #Sobrin 7 , #Photo Booth port on iphone IOS 6 and IOS 7. Cydia ID: 2431054."		http://t.co/U12Fav3BW6	Amsterdam	40204.8206	Open Twitter Page for This Person	https://twitter.com/jailbreakstyles	Yes					
prsnsingh					http://pbs.twimg.com/profile_images/511624511394160640/COLlXWqi_normal.jpeg					"prsnsingh

"																			337	856	81238	6864	-14400	I’m 20 years old and I make tech videos at http://t.co/B5aJhbqgiD	"Bethlehem, Pennsylvania"	http://t.co/52XROufFkK	Eastern Time (US & Canada)	41248.95065	Open Twitter Page for This Person	https://twitter.com/prsnsingh	No					
nickpomes					http://pbs.twimg.com/profile_images/522176227767894016/UV54ogDC_normal.jpeg					"nickpomes

"																			262	713	37219	16091	-18000	Catholic | Apple | Design	"Texas, USA"	http://t.co/9twV0bA2xD	Central Time (US & Canada)	40905.68847	Open Twitter Page for This Person	https://twitter.com/nickpomes	No					
beverlylynnn					http://pbs.twimg.com/profile_images/515149624479203328/TMU-dscu_normal.jpeg					"beverlylynnn

@CntryCurls Let us know how that
turns out. I've only tried the
apple cider holiday beer. :)"																			713	526	1045	390	-18000	"If you have the power to make someone happy, do it because the world needs more of that.  :)  | Nature Lover |
#bekindtoanimals"	Texas		Central Time (US & Canada)	41485.66413	Open Twitter Page for This Person	https://twitter.com/beverlylynnn	Yes					
cntrycurls					http://pbs.twimg.com/profile_images/498900643319648256/39r44LFt_normal.jpeg					"cntrycurls

"																			584	719	19123	18450	-14400	Sustainable farmer. Happy Lady. Loyal friend. Outdoor Enthusiast. Adventurer.	Northern Michigan		Eastern Time (US & Canada)	41338.12216	Open Twitter Page for This Person	https://twitter.com/cntrycurls	No					
soleilbeez					http://pbs.twimg.com/profile_images/525744401092321280/zyjo7Hit_normal.jpeg					"soleilbeez

simpsons treehouse of horror episodes,
greenery &amp; this fresh ass apple
cider. seasonal fall vibes all
up in my spirit tho :) how r u?"																			262	575	14519	15899	-25200	"california native. lil'journalist & editorx2, a social sunbeam - or ? just a girl that likes boys who like the New York Times. soleilbarros@gmail.com"	Calif. / Bawwwston.		Pacific Time (US & Canada)	40104.9223	Open Twitter Page for This Person	https://twitter.com/soleilbeez	Yes					
zbmusic					http://pbs.twimg.com/profile_images/485579302/FallOut09_327asdf_normal.jpg					"zbmusic

Tues night VLAN setup party - I
love it when configurations jive
:D Communications are all routing
properly. #Cisco #Apple #VLAN #CITRT"																			111	90	1550	47						40109.15715	Open Twitter Page for This Person	https://twitter.com/zbmusic	Yes					
60sniallhoran					http://pbs.twimg.com/profile_images/524055618269622272/GOgi4bEM_normal.jpeg					"60sniallhoran

RT @scarymaskstyles: goodnight
off to bed i love makayla, april,
jenny, yolanda, emily, vernisa,
dani, adri, ariel &amp; my cinnamon
apple :D s…"																			382	2168	38041	9834	-14400	you dirty bitch you dirty bitch			Eastern Time (US & Canada)	41410.89369	Open Twitter Page for This Person	https://twitter.com/60sniallhoran	Yes					
scarymaskstyles					http://pbs.twimg.com/profile_images/526905133179748352/oLEKDKhc_normal.jpeg					"scarymaskstyles

goodnight off to bed i love makayla,
april, jenny, yolanda, emily, vernisa,
dani, adri, ariel &amp; my cinnamon
apple :D sweet dreams x"																			688	4404	71229	8675	-18000	He makes everyday worth living for	8.16.14 ? ?? NAUGHTY NINE ??	https://t.co/btF8BIkJXb	Central Time (US & Canada)	40915.99248	Open Twitter Page for This Person	https://twitter.com/scarymaskstyles	Yes					
radioactivehes					http://pbs.twimg.com/profile_images/526992534933749760/IfXiXAAU_normal.jpeg					"radioactivehes

RT @scarymaskstyles: goodnight
off to bed i love makayla, april,
jenny, yolanda, emily, vernisa,
dani, adri, ariel &amp; my cinnamon
apple :D s…"																			12879	14102	35013	17177	-25200	| harry |                                                               ???half a heart without @harrywantsex ???          @liamftlove is my pooh bear	No im not. Yes you are.		Pacific Time (US & Canada)	40509.90973	Open Twitter Page for This Person	https://twitter.com/radioactivehes	Yes					
s0yl3yenda					http://pbs.twimg.com/profile_images/527249691453317121/g-6-srSR_normal.jpeg					"s0yl3yenda

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			878	1107	4146	991	-14400	"life is One direction,5sos,,Dylan O'Brien,Nash Grier,Cameron D         
                                                          ??Follow me and follow you ??"	Perù		Eastern Time (US & Canada)	41136.71653	Open Twitter Page for This Person	https://twitter.com/s0yl3yenda	Yes					
croptophes					http://pbs.twimg.com/profile_images/526386957392564224/LU1zkmvi_normal.jpeg					"croptophes

RT @scarymaskstyles: goodnight
off to bed i love makayla, april,
jenny, yolanda, emily, vernisa,
dani, adri, ariel &amp; my cinnamon
apple :D s…"																			516	3071	95298	17063	-10800	"its the things we love most, that destroy us"	m/4	https://t.co/EMtYuQq5RQ	Atlantic Time (Canada)	41654.82113	Open Twitter Page for This Person	https://twitter.com/croptophes	Yes					
zm1dfl					http://pbs.twimg.com/profile_images/523996643994374146/6MccGtM3_normal.jpeg					"zm1dfl

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			101	78	664	152		One Direction is life				41932.02612	Open Twitter Page for This Person	https://twitter.com/zm1dfl	Yes					
branden204					http://pbs.twimg.com/profile_images/525123206731292672/4ExmBBhw_normal.jpeg					"branden204

@DreamyEyedAllie well I'll continue
tweeting from my note 4 while u
wait til February to get your new
Apple phone :-)"																			1093	877	59276	247	-18000	Instagram: @branden204	"Nashville, TN"		Central Time (US & Canada)	40056.13053	Open Twitter Page for This Person	https://twitter.com/branden204	Yes					
dreamyeyedallie					http://pbs.twimg.com/profile_images/526974855321632768/kQjyL8dT_normal.jpeg					"dreamyeyedallie

"																			521	589	45494	1206	-14400	23. UTK Alumna. Mario Mim's first love. Beard lover.	Memphis 		Eastern Time (US & Canada)	40559.22822	Open Twitter Page for This Person	https://twitter.com/dreamyeyedallie	No					
isac4stro					http://pbs.twimg.com/profile_images/526928941366648832/yt2TVPwq_normal.jpeg					"isac4stro

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			413	278	7648	4201	-7200	Happily	Brasil		Brasilia	40844.56258	Open Twitter Page for This Person	https://twitter.com/isac4stro	Yes					
ajkoehne3					http://pbs.twimg.com/profile_images/525843334552907777/ZWMOIrmX_normal.jpeg					"ajkoehne3

I'm dead tired and all I've eaten
today is a bowl of Apple jacks
:-) help"																			579	698	22297	10474		call it magic	Lincoln Way East | Junior 			41011.00053	Open Twitter Page for This Person	https://twitter.com/ajkoehne3	Yes					
1dy5sos_perfect					http://pbs.twimg.com/profile_images/527286517740220416/dTBzBpvM_normal.jpeg					"1dy5sos_perfect

RT @zaynmalik: Our new album is
called FOUR :) http://t.co/SsP5SAatsW"																			63	120	2649	2259	-14400				Eastern Time (US & Canada)	41171.07995	Open Twitter Page for This Person	https://twitter.com/1dy5sos_perfect	Yes					
raneemluvs1d					http://pbs.twimg.com/profile_images/527080151277137921/57uub1mf_normal.jpeg					"raneemluvs1d

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			210	238	4031	3716		8.11.14 One Direction 5 Seconds of Summer				41763.71863	Open Twitter Page for This Person	https://twitter.com/raneemluvs1d	Yes					
ilovesmoshgamez					http://pbs.twimg.com/profile_images/525890849045872640/LnqJ1wVH_normal.jpeg					"ilovesmoshgamez

RT @shanedawson: PS. u have to
watch BOTH movies to vote!!! fill
out the questioners honestly! :))
heres a link to the other movie
&lt;3 https…"																			1996	888	2803	2815		"i love A LOT of YouTubers! including Shane Dawson and Drew Monson, plz subscribe to rscheesey on http://t.co/Qj9GgYHljk he's the best!!"	"Newton, IA"	http://t.co/ADyd5HfH7M		41824.16922	Open Twitter Page for This Person	https://twitter.com/ilovesmoshgamez	Yes					
shanedawson					http://pbs.twimg.com/profile_images/526312887145340929/zumNosG8_normal.png					"shanedawson

"																			23600	2232744	19792	2691	-25200	DOWNLOAD MY MOVIE *NOT COOL* on iTUNES NOW! https://t.co/xNmQx4Bhkh	"Hollywood, CA"	http://t.co/w8cDEeeTxZ	Pacific Time (US & Canada)	39816.92399	Open Twitter Page for This Person	https://twitter.com/shanedawson	No					
griotspeak					http://pbs.twimg.com/profile_images/1301154075/logoMed_normal.jpg					"griotspeak

@apontious Instructions for importing
a user made playground into a playground
:-) https://t.co/08SSXpbHKM"																			921	438	2496	334	-14400	"Software Developer, Teacher, Poet, Musician"	"Atlanta, GA"		Eastern Time (US & Canada)	40637.58398	Open Twitter Page for This Person	https://twitter.com/griotspeak	Yes					
apontious					http://pbs.twimg.com/profile_images/148276947/helpful-tiger2_normal.png					"apontious

"																			193	863	9140	1516	-25200	"“I see Andrew had to be difficult.” — @iconmaster

“You’d have a room of 3-year-olds rolling in laughter.” — @balexander

@edgecasesshow with @rentzsch"	California	http://t.co/3Ety69Du2D	Pacific Time (US & Canada)	39277.12984	Open Twitter Page for This Person	https://twitter.com/apontious	No					
justino42aylinn					http://pbs.twimg.com/profile_images/501723971050418176/pRtw-J3D_normal.jpeg					"justino42aylinn

RT @chechuvlc: Ya esta a la venta
en itunes los Remixes del single
""I Believe you"" de @JoseGalisteo
:-) https://t.co/aHRy6CzMmp"																			69	44	196	8						41870.5339	Open Twitter Page for This Person	https://twitter.com/justino42aylinn	Yes					
apple_tvxq					http://pbs.twimg.com/profile_images/525821536976896001/0S1Gq734_normal.jpeg					"apple_tvxq

RT @Shield_Thai: ??????????? Marvel
????????????????? 3 ????????? ????????????
9 ??????! ????????????????????
:) http://t.co/DbkJA8vtA4"																			274	287	87776	1570	-25200	???????????????????? ??			Pacific Time (US & Canada)	40483.50672	Open Twitter Page for This Person	https://twitter.com/apple_tvxq	Yes					
shield_thai					http://pbs.twimg.com/profile_images/517202742188572673/BLzDkZAf_normal.jpeg					"shield_thai

"																			96	8559	866	297	25200	?????????????????????????????????????????? ??????????????? ??????? ??????? ??????????? MCU (Marvel Cinematic Universe)			Bangkok	41778.20657	Open Twitter Page for This Person	https://twitter.com/shield_thai	No					
perezzcami					http://pbs.twimg.com/profile_images/525091557871845376/hci-QbuQ_normal.jpeg					"perezzcami

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			386	233	6311	2261		"Vive como si fueras a morir mañana, y aprende como si fueras a vivir siempre // One Direction//  5 seconds of summer // Miley Cyrus?"	"Buenos Aires, Argentina"	https://t.co/iwiH14KLwR		41300.0262	Open Twitter Page for This Person	https://twitter.com/perezzcami	Yes					
nixllbbito					http://pbs.twimg.com/profile_images/523706979504914432/7PI7syel_normal.jpeg					"nixllbbito

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			886	263	422	296	-10800	niall horan mejor que vos // larry shipper // niall girl obvio // #te4mp1j4s	si no sos Lu no respires		Santiago	41731.60916	Open Twitter Page for This Person	https://twitter.com/nixllbbito	Yes					
bubblebutthayes					http://pbs.twimg.com/profile_images/520404090879475714/rVQegjLi_normal.jpeg					"bubblebutthayes

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			1189	1779	9867	7661	-14400	i heard you like potatoes                                                           ?cam follows?			Eastern Time (US & Canada)	41553.7658	Open Twitter Page for This Person	https://twitter.com/bubblebutthayes	Yes					
iamtimbaker					http://pbs.twimg.com/profile_images/520304884608823296/Vpli2raZ_normal.jpeg					"iamtimbaker

Here's how Apple can guarantee
that MCX / CurrentC never takes
off - pull the app from the App
Store. :)"																			886	4287	26759	1975	-14400	Marketing guy at @Audible_com. Early Adopter. Music Lover. Fanboy. Gadget Geek. Vodka Sauce Aficionado. Tweets are mine. Let the wild rumpus start!	NJ / NYC	http://t.co/D2j2VIZmCZ	Eastern Time (US & Canada)	39353.89913	Open Twitter Page for This Person	https://twitter.com/iamtimbaker	Yes					
